Assunto	Pergunta	Resposta Padrão
AET	O que é AET?	A Análise Ergonômica do Trabalho (AET) é um estudo obrigatório realizado pelo empregador para determinar as condições e diretrizes do trabalho no que diz respeito à ergonomia, de acordo com a NR-17.  É um levantamento que avalia as condições de trabalho e as características psicofisiológicas dos trabalhadores. 
AET	Qual o órgão que fiscaliza a AET?	"O Ministério do Trabalho, através da Delegacia Regional do Trabalho (DRT). 
Caso a empresa não desenvolva melhorias satisfatórias em ergonomia, estará sujeita a notificações, multas e até interdições. 
As multas são calculadas com base nas NR's 17 e 28, podendo chegar até R$ 80.970,00."
AET	Como evitar a LER/DORT no ambiente de trabalho?	"As Lesões por Esforços Repetitivos (LER) e os Distúrbios Osteomusculares Relacionados ao Trabalho (DORT) são as doenças que mais afetam os trabalhadores brasileiros.
A melhor forma de prevenção é ter um ambiente de trabalho ergonomicamente saudável. Os elementos mobiliários e as ferramentes utilizadas pelo colaborador devem estar de acordo com a Análise Ergonômica do Trabalho (AET). Fortalecimento muscular e atividade física regular são as melhores formas de prevenção. A ginástica laboral, com exercícios de alongamentos ou fortalecimento muscular no próprio ambiente de trabalho também ajudam.  "
Afastamento INSS	É possivel um paciente realizar ASO de retorno ao Trabalho antes da perícia do INSS?	Se o trabalhador se encontra em plena aptidão física e mental, não há contraindicações para realização do ASO de retorno ao trabalho antecipado, já que o próprio regulamento da Previdência Social aprovado pelo Decreto nº 3.048/99, e recentemente atualizado pelo Decreto nº 10.410, de 2020, no artigo 75 § 6º, dispõe que o segurado pode retornar ao trabalho antes da perícia inicial do INSS. É importante que o empregado saiba que ele pode retornar ao trabalho antes da perícia inicial e que isso não é uma possibilidade caso este já esteja recuperado, com alta médica e devidamente apto para o labor, uma vez que, ao retornar ao trabalho sem a devida recuperação, aumenta o risco de agravamento da enfermidade e consequentemente a necessidade de novo afastamento.
Agendamento	O que é um atendimento pontual, como e quando ele pode ser solicitado? Pode ser pedido para qualquer região? 	"O atendimento pontual ocorre quando não temos credenciada e nem clínica própria no local que o cliente necessita. Existem casos em que não temos opção de outra clínica na localidade, e a clínica encontrada não trabalha com credenciamento. Para que possamos verificar com as clínicas que atuam no local, precisamos receber com antecedência do cliente a grade de exames e quantitativo de atendimentos no local.
Após contato com a clínica e retorno positivo sobre a parceria, iniciamos a tratativa referente a valores dos exames, analisamos prazos para liberação, verificamos se todos os exames são realizados no mesmo local e explcamos sobre a utilização do kit próprio da BR MED ou do cliente. Por fim, solicitamos que a clínica emita a nota fiscal do atendimento para efetuar o pagamento e, após o envio do comprovante, a clínica nos libera o prontuário do colaborador. Esse processo dura, em média, de 10 a 20 dias."
Agendamento	Por que um agendamento em credenciada não tem a guia liberada na hora?	Trabalhamos com algumas clínicas que necessitam de agendamento prévio por ter um limite de atendimento diário e, por isso, precisamos aguardar o retorno da clínica com a disponibilidade. Após receber a solicitação e a verificação de disponibilidade, o agendamento é confirmado no sistema e a guia é liberada.
Agendamento	Quais os motivos de travas na confirmação de um agendamento?	"O agendamento fica travado:
1-        Caso a clínica não possua disponibilidade para o dia e horário desejado pelo cliente.
2-        Caso o exame seja feito de forma externa.
3-        Caso o exame ainda não tenha sido realizado nesta clínica e, portanto, precisa cotar o valor e o prazo dos exames.
4-        Quando o agendamento vem com observação ou anexo, precisamos analisar as informações e alinhar junto a clínica.
5-        Quando o cliente possui particularidades específicas, entramos em contato com a clínica credenciada para alinhar o atendimento antes de confirmar o agendamento."
Agendamento	Qual a diferença entre os exames Acuidade Visual, Acuidade Visual com Senso Cromático e Avaliação Oftalmológica? 	"A Acuidade Visual é um exame oftamológico que mede a capacidade dos olhos em distinguir detalhes espaciais, ou seja, identificar a forma e o contorno de objetos ou imagens. 
A Acuidade Visual com Senso Cromático é semelhante à Acuidade Visual, porém também é utilizado cores. 
Já a Avaliação Oftamológica é o exame com oftamologista, que emite o laudo e fornece diagnóstico e consulta."
Agendamento	Qual o horário de atendimento das unidades próprias BR MED?	"De segunda à quinta, das 7h às 17h.
Sextas das 7h às 16h.
NOTA: O atendimento é por ordem de chegada. O paciente deve chegar 15 minutos antes do horário de atendimento e até 1 hora após o início do mesmo. "
Agendamento	Qual o horário do atendimento médico nas unidades?	"Os médicos atendem das 7h às 16h em todas as unidades, exceto nas unidades de Vitória e Santos, que ocorre de segunda à sexta, das 07h às 12h. Na unidade de Angra dos Reis o atendimento é às segundas e sextas, das 7h às 12h, e terças, quartas e quintas das 7h às 16h.
NOTA: O atendimento é por ordem de chegada. O paciente deve chegar 15 minutos antes do horário de atendimento e até 1 hora após o início do mesmo."
